State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Anantapur,"Mousambi(Sweet Lime)",Mousambi,Medium,30/10/2025,800,1500,1000
Bihar,Bhojpur,Piro,Potato,Jyoti,FAQ,30/10/2025,2400,2430,2420
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,30/10/2025,1200,1400,1300
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,30/10/2025,7250,7455,7350
Gujarat,Amreli,Damnagar,"Bhindi(Ladies Finger)",Bhindi,FAQ,30/10/2025,1250,2050,1700
Gujarat,Bharuch,Ankleshwar,"Bhindi(Ladies Finger)",Bhindi,FAQ,30/10/2025,2000,4000,3000
Gujarat,Bharuch,Jambusar,Maize,Other,FAQ,30/10/2025,2000,2400,2200
Gujarat,"Gir Somnath",Talalagir,"Green Chilli",Other,FAQ,30/10/2025,3000,5000,4000
Gujarat,Rajkot,Dhoraji,Cotton,"H.B (Unginned)",Non-FAQ,30/10/2025,6530,7730,7405
Gujarat,Rajkot,Dhoraji,Groundnut,Local,Non-FAQ,30/10/2025,4030,5080,4680
Gujarat,Rajkot,Dhoraji,Wheat,Lokwan,Non-FAQ,30/10/2025,2200,2575,2505
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Guar,Gwar,FAQ,30/10/2025,1000,9000,5000
Gujarat,Surat,Songadh(Badarpada),"Bhindi(Ladies Finger)",Bhindi,FAQ,30/10/2025,5000,6000,5600
Gujarat,Surat,Surat,"Indian Beans (Seam)",Other,FAQ,30/10/2025,3000,6000,4500
Gujarat,Surat,Surat,Lemon,Other,FAQ,30/10/2025,500,3000,1750
Gujarat,Vadodara(Baroda),Padra,"Bitter gourd",Other,FAQ,30/10/2025,1000,2000,1500
Gujarat,Vadodara(Baroda),Padra,"Bottle gourd",Other,FAQ,30/10/2025,2000,2500,2250
Gujarat,Vadodara(Baroda),Padra,Brinjal,Other,FAQ,30/10/2025,1500,3500,2500
Gujarat,Vadodara(Baroda),Padra,Cabbage,Other,FAQ,30/10/2025,900,1000,950
Gujarat,Vadodara(Baroda),Padra,Lemon,Other,FAQ,30/10/2025,2250,2750,2500
Haryana,Ambala,Barara,Banana,Other,Medium,30/10/2025,2100,2700,2300
Haryana,Ambala,Barara,Coriander(Leaves),Coriander,FAQ,30/10/2025,1500,2000,1500
Haryana,Ambala,Barara,Lemon,Other,FAQ,30/10/2025,2200,2200,2200
